選挙区,定員,立候補者氏名,"立候補者氏名
（かな）",性別,年齢,党派,新 現 元,ウェブサイト
,,本橋ひろたか,もとはし　ひろたか,男,55,都民ファーストの会,新,http://www.motohashi-hirotaka.jp
,,堀こうどう,ほり　こうどう,男,52,自由民主党,現,http://www.hori-koudou.com/
,,米倉春奈,よねくら　はるな,女,29,日本共産党,現,http://kouho.jcp-tokyo.net/yonekura/
,,長橋けい一,ながはし　けいいち,男,60,公明党,現,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/
北区,,,,,,,,
,,おときた駿,おときた　しゅん,男,33,都民ファーストの会,現,http://otokitashun.com/
,,そねはじめ,そね　はじめ,男,65,日本共産党,現,http://sonehajime.com/
,,和田宗春,わだ　むねはる,男,73,民進党,元,http://www.wadamune.jp/
,,高木けい,たかぎ　けい,男,52,自由民主党,現,http://takagi-kei.com/index.php
,,大松あきら,おおまつ　あきら,男,56,公明党,現,http://www.oomatsu.com/
荒川区,,,,,,,,
,,たきぐち学,たきぐち　がく,男,46,無所属,元,http://t-gaku.com/
,,西野アキラ,にしの　あきら,男,40,幸福実現党,新,https://www.facebook.com/nishino.akira7777
,,けいの信一,けいの　しんいち,男,41,公明党,新,http://www.komei.or.jp/km/keino/
,,さきやま知尚,さきやま　ちしょう,男,51,自由民主党,現,http://www.sakiyama-c.jp/
,,山本ごう,やまもと　ごう,男,39,無所属,新,https://twitter.com/gohhog1
,,相馬けんいち,そうま　けんいち,男,63,日本共産党,新,http://kouho.jcp-tokyo.net/souma
,,宮本しゅんま,みやもと　しゅんま,男,26,無所属,新,https://mobile.twitter.com/cocomirakai
板橋区,,,,,,,,
,,宮瀬英治,みやせ　えいじ,男,40,民進党,現,http://miyase-eiji.net/
,,くまき美奈子,くまき　みなこ,女,55,無所属,元,http://kumakiminako.jp/
,,安原ひろし,やすはら　ひろし,男,27,幸福実現党,新,http://s.ameblo.jp/h-yasuhara11/
,,たちばな正剛,たちばな　せいごう,男,64,公明党,現,http://www.komei.or.jp/km/tokyo-tachibana-seigo/
,,河野ゆうき,こうの　ゆうき,男,47,自由民主党,現,http://www.kouno.tokyo.jp/
,,木下ふみこ,きのした　ふみこ,女,50,都民ファーストの会,新,http://www.k-fumiko.jp
,,平けいしょう,たいら　けいしょう,男,29,都民ファーストの会,新,http://www.tairakeisyo.com/
,,松田やすまさ,まつだ　やすまさ,男,40,自由民主党,現,http://yasumasa-matsuda.info
,,とくとめ道信,とくとめ　みちのぶ,男,65,日本共産党,現,http://m-tokutome.com/
,,佐上彰浩,さがみ　あきひろ,男,46,無所属,新,Twitterのユーザー名　AkihiroSagami
練馬区,,,,,,,,
,,渋谷誠,しぶや　まこと,男,53,環境党,新,http://www.kankyotou.jp
,,あさの克彦,あさの　かつひこ,男,42,民進党,現,http://asano-k.net
,,藤井とものり,ふじい　とものり,男,41,民進党,新,https://ameblo.jp/fujiitomonori-nerima/
,,とや英津子,とや　えつこ,女,53,日本共産党,新,http://toya-jcp.info
,,小林けんじ,こばやし　けんじ,男,47,公明党,現,http://kobaken-komei.com
,,やまかあけみ,やまか　あけみ,女,63,自由民主党,現,http://www.yamaka-akemi.jp/
,,しばざき幹男,しばざき　みきお,男,61,自由民主党,現,http://www.shibazaki-mikio.jp/
,,きくちやすえ,きくち　やすえ,女,54,東京・生活者ネットワーク,新,http://kikuchi.seikatsusha.me
,,おじま紘平,おじま　こうへい,男,28,都民ファーストの会,新,http://ojimakohei.jp
,,村松一希,むらまつ　かずき,男,36,都民ファーストの会,新,http://k-muramatsu.com
足立区,,,,,,,,
,,鈴木かつひろ,すずき　かつひろ,男,59,日本維新の会,元,http://suzukikatsuhiro.jp/
