選挙区,定員,立候補者氏名,"立候補者氏名（かな）",性別,年齢,党派,新 現 元,ウェブサイト,Twitter URL,Facebook ID,YouTube URL,Instagram ID,Google+ URL,処理エラー
,,長橋けい一,ながはし　けいいち,男,60,公明党,現,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/,https://twitter.com/nagahashikeiich,https://www.facebook.com/nagahashikeiichitoshima/,,,,
北区,,,,,,,,,,,,,,
,,おときた駿,おときた　しゅん,男,33,都民ファーストの会,現,http://otokitashun.com/,https://twitter.com/otokita,http://www.facebook.com/otokitashun,,,https://plus.google.com/u/0/112321612788215374984/posts?rel=author,
,,そねはじめ,そね　はじめ,男,65,日本共産党,現,http://sonehajime.com/,https://twitter.com/sone_hajime,https://www.facebook.com/profile.php?id=100005299354592&fref=ts,,,,
,,和田宗春,わだ　むねはる,男,73,民進党,元,http://www.wadamune.jp/,,,,,,
,,高木けい,たかぎ　けい,男,52,自由民主党,現,http://takagi-kei.com/index.php,https://twitter.com/tocho_koho,https://www.facebook.com/tochokoho,,,,
,,大松あきら,おおまつ　あきら,男,56,公明党,現,http://www.oomatsu.com/,https://twitter.com/akiraoomatsu,https://www.facebook.com/oomatsuakira/,https://www.youtube.com/user/akiraoomatsu,,,
荒川区,,,,,,,,,,,,,,
,,たきぐち学,たきぐち　がく,男,46,無所属,元,http://t-gaku.com/,https://twitter.com/#!/takiguchigaku,https://www.facebook.com/gaku.takiguchi,,,,
,,西野アキラ,にしの　あきら,男,40,幸福実現党,新,https://www.facebook.com/nishino.akira7777,,https://www.facebook.com/allactivity?privacy_source=activity_log_top_menu,,,,
,,けいの信一,けいの　しんいち,男,41,公明党,新,http://www.komei.or.jp/km/keino/,https://twitter.com/KeinoShinichi,https://www.facebook.com/keino.shinichi,https://www.youtube.com/channel/UCrti02tDmyM-uKxJw4ovPeA,https://www.instagram.com/keino_shinichi/,,
,,さきやま知尚,さきやま　ちしょう,男,51,自由民主党,現,http://www.sakiyama-c.jp/,https://twitter.com/tokyojimin,,,,,
,,山本ごう,やまもと　ごう,男,39,無所属,新,https://twitter.com/gohhog1,https://twitter.com/gohhog1#timeline,,,,,
,,相馬けんいち,そうま　けんいち,男,63,日本共産党,新,http://kouho.jcp-tokyo.net/souma,,,,,,
,,宮本しゅんま,みやもと　しゅんま,男,26,無所属,新,https://mobile.twitter.com/cocomirakai,,,,,,
板橋区,,,,,,,,,,,,,,
,,宮瀬英治,みやせ　えいじ,男,40,民進党,現,http://miyase-eiji.net/,https://twitter.com/miyase_eiji,https://www.facebook.com/miyase.eiji.yourparty,http://www.youtube.com/channel/UCAcHLDY9UbMVjNrp7w03L9A,,,
,,くまき美奈子,くまき　みなこ,女,55,無所属,元,http://kumakiminako.jp/,https://twitter.com/kumaki_minako,https://www.facebook.com/くまき美奈子事務所-1667222106839710/,,,,
,,安原ひろし,やすはら　ひろし,男,27,幸福実現党,新,http://s.ameblo.jp/h-yasuhara11/,,,,,,
